Data,P/BV ratios,,,,,,,,,,
Period,Monthly since Apr-1988 to present,,,,,,,,,,
Unit,Times,,,,,,,,,,
Month-Year,SET,SET50,SET50FF,SET100,SET100FF,sSET,SETCLMV,SETHD,SETESG,SETWB,mai
เม.ย.-14,2.09,2.28,,2.21,,,,1.6,,,2.92
มี.ค.-14,2.02,2.23,,2.15,,,,1.56,,,2.76
ก.พ.-14,2.01,2.16,,2.09,,,,1.53,,,2.68
ม.ค.-14,1.98,2.14,,2.07,,,,1.53,,,2.55
ธ.ค.-13,2.02,2.19,,2.12,,,,1.58,,,2.69
พ.ย.-13,2.12,2.32,,2.26,,,,1.62,,,2.76
ต.ค.-13,2.26,2.49,,2.42,,,,1.73,,,3
ก.ย.-13,2.17,2.37,,2.31,,,,1.67,,,2.74
ส.ค.-13,2.03,2.23,,2.16,,,,1.59,,,2.49
ก.ค.-13,2.27,2.47,,2.39,,,,1.73,,,3.46
มิ.ย.-13,2.31,2.48,,2.42,,,,1.73,,,3.41
พ.ค.-13,2.48,2.6,,2.57,,,,1.79,,,3.6
เม.ย.-13,2.62,2.75,,2.72,,,,1.9,,,4.54
มี.ค.-13,2.54,2.67,,2.65,,,,1.9,,,4.31
ก.พ.-13,2.56,2.69,,2.68,,,,1.97,,,4.28
ม.ค.-13,2.55,2.77,,2.71,,,,2.07,,,4.27
ธ.ค.-12,2.41,2.62,,2.57,,,,1.87,,,3.24
พ.ย.-12,2.26,2.46,,2.41,,,,1.76,,,3.06
ต.ค.-12,2.26,2.45,,2.41,,,,1.78,,,3.18
ก.ย.-12,2.26,2.47,,2.42,,,,1.77,,,2.81
ส.ค.-12,2.13,2.34,,2.28,,,,1.72,,,2.48
ก.ค.-12,2.1,2.32,,2.25,,,,1.7,,,2.31
มิ.ย.-12,2.05,2.23,,2.16,,,,1.8,,,2.19
พ.ค.-12,2,2.16,,2.1,,,,1.78,,,2.14
เม.ย.-12,2.24,2.48,,2.39,,,,2.03,,,2.67
มี.ค.-12,2.18,2.41,,2.33,,,,2,,,2.52
ก.พ.-12,2.08,2.35,,2.26,,,,1.97,,,2.82
ม.ค.-12,1.98,2.19,,2.11,,,,1.87,,,2.75
ธ.ค.-11,1.87,2.05,,1.98,,,,1.8,,,2.46
พ.ย.-11,1.81,1.98,,1.92,,,,1.76,,,2.36
ต.ค.-11,1.78,1.98,,1.91,,,,1.72,,,2.19
ก.ย.-11,1.7,1.84,,1.79,,,,1.56,,,2.22
ส.ค.-11,1.99,2.16,,2.11,,,,1.85,,,2.67
ก.ค.-11,2.14,2.36,,2.29,,,,2,,,2.87
มิ.ย.-11,1.96,2.18,,2.08,,,,,,,2.7
พ.ค.-11,2.02,2.25,,2.15,,,,,,,2.57
เม.ย.-11,2.12,2.39,,2.28,,,,,,,2.57
มี.ค.-11,2.02,2.27,,2.17,,,,,,,2.02
ก.พ.-11,1.94,2.18,,2.08,,,,,,,1.98
ม.ค.-11,1.91,2.14,,2.05,,,,,,,2.04
ธ.ค.-10,2.04,2.27,,2.18,,,,,,,2.08
พ.ย.-10,1.97,2.19,,2.11,,,,,,,1.92
ต.ค.-10,1.98,2.18,,2.12,,,,,,,1.94
ก.ย.-10,1.95,2.17,,2.1,,,,,,,1.82
ส.ค.-10,1.83,2.01,,1.95,,,,,,,1.85
ก.ค.-10,1.72,1.87,,1.82,,,,,,,1.85
มิ.ย.-10,1.6,1.73,,1.68,,,,,,,1.72
พ.ค.-10,1.5,1.66,,1.59,,,,,,,1.54
เม.ย.-10,1.58,1.78,,1.69,,,,,,,1.53
มี.ค.-10,1.64,1.84,,1.75,,,,,,,1.52
ก.พ.-10,1.52,1.7,,1.62,,,,,,,1.61
ม.ค.-10,1.48,1.68,,1.57,,,,,,,1.63
ธ.ค.-09,1.56,1.77,,1.67,,,,,,,1.66
พ.ย.-09,1.46,1.65,,1.56,,,,,,,1.63
ต.ค.-09,1.49,1.68,,1.59,,,,,,,1.61
ก.ย.-09,1.55,1.78,,1.68,,,,,,,1.49
ส.ค.-09,1.41,1.63,,1.53,,,,,,,1.34
ก.ค.-09,1.36,1.58,,1.48,,,,,,,1.35
มิ.ย.-09,1.3,1.52,,1.41,,,,,,,1.38
พ.ค.-09,1.22,1.4,,1.3,,,,,,,1.22
เม.ย.-09,1.09,1.26,,1.16,,,,,,,1.27
มี.ค.-09,0.95,1.09,,1,,,,,,,1.17
ก.พ.-09,0.96,1.08,,0.99,,,,,,,1.16
ม.ค.-09,0.96,1.08,,0.99,,,,,,,1.13
ธ.ค.-08,0.98,1.09,,1.01,,,,,,,1.11
พ.ย.-08,0.88,0.97,,0.89,,,,,,,1.07
ต.ค.-08,0.91,1.01,,0.93,,,,,,,1.15
ก.ย.-08,1.31,1.45,,1.36,,,,,,,1.53
ส.ค.-08,1.49,1.67,,1.57,,,,,,,1.68
ก.ค.-08,1.49,1.64,,1.55,,,,,,,1.71
มิ.ย.-08,1.69,1.88,,1.78,,,,,,,1.81
พ.ค.-08,1.84,2.06,,1.95,,,,,,,1.96
เม.ย.-08,1.91,2.16,,2.04,,,,,,,2.33
มี.ค.-08,1.87,2.11,,2,,,,,,,2.23
ก.พ.-08,2,2.3,,2.16,,,,,,,2.4
ม.ค.-08,1.86,2.13,,2.01,,,,,,,2.33
ธ.ค.-07,2.02,2.35,,2.2,,,,,,,2.39
พ.ย.-07,1.99,2.3,,2.16,,,,,,,2.36
ต.ค.-07,2.17,2.52,,2.37,,,,,,,2.5
ก.ย.-07,2.01,2.31,,2.18,,,,,,,2.24
ส.ค.-07,1.92,2.17,,2.06,,,,,,,2.1
ก.ค.-07,2.08,2.31,,2.2,,,,,,,2.24
มิ.ย.-07,1.87,2.07,,1.98,,,,,,,1.96
พ.ค.-07,1.74,1.97,,1.88,,,,,,,1.74
เม.ย.-07,1.71,1.95,,1.85,,,,,,,1.76
มี.ค.-07,1.64,1.87,,1.78,,,,,,,1.6
ก.พ.-07,1.68,1.92,,1.82,,,,,,,1.89
ม.ค.-07,1.64,1.85,,1.76,,,,,,,1.81
ธ.ค.-06,1.69,1.94,,1.85,,,,,,,1.83
พ.ย.-06,1.81,2.11,,2.01,,,,,,,1.79
ต.ค.-06,1.82,2.12,,2.02,,,,,,,1.6
ก.ย.-06,1.72,2.02,,1.91,,,,,,,1.46
ส.ค.-06,1.72,2.01,,1.9,,,,,,,1.4
ก.ค.-06,1.74,2.01,,1.9,,,,,,,1.42
มิ.ย.-06,1.7,1.95,,1.85,,,,,,,1.37
พ.ค.-06,1.76,2.03,,1.93,,,,,,,1.44
เม.ย.-06,2.01,2.32,,2.21,,,,,,,1.5
มี.ค.-06,1.92,2.21,,2.11,,,,,,,1.46
ก.พ.-06,2.07,2.35,,2.22,,,,,,,1.82
ม.ค.-06,2.09,2.35,,2.23,,,,,,,1.95
ธ.ค.-05,1.95,2.22,,2.11,,,,,,,1.88
พ.ย.-05,1.79,2.04,,1.94,,,,,,,1.53
ต.ค.-05,1.88,2.15,,2.04,,,,,,,1.57
ก.ย.-05,1.99,2.3,,2.18,,,,,,,1.63
ส.ค.-05,1.91,2.23,,2.11,,,,,,,1.56
ก.ค.-05,1.89,2.17,,2.05,,,,,,,1.68
มิ.ย.-05,1.88,2.09,,2.02,,,,,,,1.72
พ.ค.-05,1.86,2.05,,1.99,,,,,,,1.71
เม.ย.-05,1.93,2.14,,,,,,,,,1.93
มี.ค.-05,1.98,2.21,,,,,,,,,1.9
ก.พ.-05,2.25,2.54,,,,,,,,,2.53
ม.ค.-05,2.22,2.44,,,,,,,,,2.49
ธ.ค.-04,2.1,2.36,,,,,,,,,2.09
พ.ย.-04,2.05,2.32,,,,,,,,,1.87
ต.ค.-04,2.05,2.32,,,,,,,,,2.78
ก.ย.-04,2.05,2.37,,,,,,,,,2.82
ส.ค.-04,1.99,2.28,,,,,,,,,2.54
ก.ค.-04,2.04,2.35,,,,,,,,,2.37
มิ.ย.-04,2.06,2.3,,,,,,,,,2.15
พ.ค.-04,2.05,2.27,,,,,,,,,2.19
เม.ย.-04,2.16,2.38,,,,,,,,,2.35
มี.ค.-04,2.16,2.36,,,,,,,,,2.59
ก.พ.-04,2.59,2.77,,,,,,,,,2.85
ม.ค.-04,2.63,2.84,,,,,,,,,3.01
ธ.ค.-03,2.88,3.12,,,,,,,,,3.46
พ.ย.-03,2.41,2.38,,,,,,,,,3.87
ต.ค.-03,2.47,2.44,,,,,,,,,4.06
ก.ย.-03,2.21,2.28,,,,,,,,,3.32
ส.ค.-03,2.08,2.21,,,,,,,,,2.43
ก.ค.-03,1.9,2.05,,,,,,,,,1.72
มิ.ย.-03,1.79,2.02,,,,,,,,,1.4
พ.ค.-03,1.57,1.77,,,,,,,,,1.34
เม.ย.-03,1.52,1.7,,,,,,,,,1.1
มี.ค.-03,1.47,1.66,,,,,,,,,1.02
ก.พ.-03,1.48,1.66,,,,,,,,,1.07
ม.ค.-03,1.55,1.75,,,,,,,,,0.9
ธ.ค.-02,1.36,1.53,,,,,,,,,1.94
พ.ย.-02,1.39,1.58,,,,,,,,,1.94
ต.ค.-02,1.38,1.57,,,,,,,,,1.72
ก.ย.-02,1.28,1.44,,,,,,,,,1.41
ส.ค.-02,1.42,1.59,,,,,,,,,1.38
ก.ค.-02,1.52,1.72,,,,,,,,,1.81
มิ.ย.-02,1.57,1.78,,,,,,,,,1.58
พ.ค.-02,1.63,1.9,,,,,,,,,0.99
เม.ย.-02,1.51,1.77,,,,,,,,,1.05
มี.ค.-02,1.52,1.78,,,,,,,,,1.12
ก.พ.-02,1.52,1.8,,,,,,,,,1.39
ม.ค.-02,1.41,1.67,,,,,,,,,1.29
ธ.ค.-01,1.24,1.44,,,,,,,,,1.31
พ.ย.-01,1.24,1.47,,,,,,,,,1.43
ต.ค.-01,1.11,1.37,,,,,,,,,
ก.ย.-01,1.11,1.39,,,,,,,,,
ส.ค.-01,1.41,1.65,,,,,,,,,
ก.ค.-01,1.24,1.45,,,,,,,,,
มิ.ย.-01,1.34,1.63,,,,,,,,,
พ.ค.-01,1.29,1.58,,,,,,,,,
เม.ย.-01,1.29,1.59,,,,,,,,,
มี.ค.-01,1.25,1.56,,,,,,,,,
ก.พ.-01,1.36,1.74,,,,,,,,,
ม.ค.-01,1.38,1.8,,,,,,,,,
ธ.ค.-00,1.11,1.36,,,,,,,,,
พ.ย.-00,1.15,1.41,,,,,,,,,
ต.ค.-00,1.06,1.27,,,,,,,,,
ก.ย.-00,1.08,1.29,,,,,,,,,
ส.ค.-00,1.19,1.45,,,,,,,,,
ก.ค.-00,1.08,1.3,,,,,,,,,
มิ.ย.-00,1.25,1.58,,,,,,,,,
พ.ค.-00,1.24,1.51,,,,,,,,,
เม.ย.-00,1.44,1.78,,,,,,,,,
มี.ค.-00,1.47,1.83,,,,,,,,,
ก.พ.-00,1.32,1.61,,,,,,,,,
ม.ค.-00,1.7,2.13,,,,,,,,,
ธ.ค.-99,1.72,2.14,,,,,,,,,
พ.ย.-99,1.48,1.82,,,,,,,,,
ต.ค.-99,1.38,1.68,,,,,,,,,
ก.ย.-99,1.34,1.63,,,,,,,,,
ส.ค.-99,1.5,1.77,,,,,,,,,
ก.ค.-99,1.59,1.86,,,,,,,,,
มิ.ย.-99,1.8,2.21,,,,,,,,,
พ.ค.-99,1.52,2,,,,,,,,,
เม.ย.-99,1.56,2.11,,,,,,,,,
มี.ค.-99,1.18,1.54,,,,,,,,,
ก.พ.-99,1.1,1.42,,,,,,,,,
ม.ค.-99,1.07,1.37,,,,,,,,,
ธ.ค.-98,1.05,1.3,,,,,,,,,
พ.ย.-98,1.01,1.25,,,,,,,,,
ต.ค.-98,0.95,1.12,,,,,,,,,
ก.ย.-98,0.72,0.83,,,,,,,,,
ส.ค.-98,0.58,0.66,,,,,,,,,
