Data,Market Index,,,,,,,,,,
Period,Monthly since Apr-1975 to present,,,,,,,,,,
Unit,Point,,,,,,,,,,
Month-Year,SET,SET501/,SET50FF2/,SET1003/,SET100FF4/,sSET5/,SETCLMV6/,SETHD7/,SETESG8/,SETWB9/,mai10/
Base,2518 (1975)/4/30 = 100,2538 (1995)/8/16 = 1000,2566 (2023)/12/28 = 875.25,2545 (2005)/4/30 = 1000,2566 (2023)/12/28 = 1938.83,2559 (2016)/12/30 = 1000,2561 (2018)/06/29 = 1000,2554 (2011)/6/30 = 1000,2561 (2018)/06/29 = 1000,2562 (2019)/03/29 = 1000,2545 (2002)/9/2 = 100
ส.ค.-18,"1,721.58","1,138.80",,"2,524.74",,903.45,"1,084.15","1,314.03","1,099.96",,439.01
ก.ค.-18,"1,701.79","1,127.56",,"2,495.73",,901.78,"1,079.01","1,296.01","1,081.70",,437.59
มิ.ย.-18,"1,595.58","1,051.63",,"2,320.82",,842.86,,"1,199.78",,,416.57
พ.ค.-18,"1,726.97","1,134.76",,"2,522.98",,938.26,,"1,282.09",,,460.88
เม.ย.-18,"1,780.11","1,177.02",,"2,606.47",,975.93,,"1,343.03",,,486.44
มี.ค.-18,"1,776.26","1,171.79",,"2,591.88",,998.99,,"1,350.55",,,490.65
ก.พ.-18,"1,830.13","1,205.57",,"2,672.01",,"1,034.82",,"1,372.38",,,500.44
ม.ค.-18,"1,826.86","1,186.16",,"2,650.17",,"1,079.40",,"1,332.31",,,540.74
ธ.ค.-17,"1,753.71","1,135.14",,"2,543.08",,"1,073.76",,"1,268.76",,,540.37
พ.ย.-17,"1,697.39","1,085.86",,"2,442.03",,"1,086.83",,"1,255.42",,,547.16
ต.ค.-17,"1,721.37","1,094.74",,"2,468.42",,"1,132.18",,"1,250.02",,,574.95
ก.ย.-17,"1,673.16","1,068.92",,"2,401.29",,"1,084.73",,"1,235.87",,,570.66
ส.ค.-17,"1,616.16","1,034.29",,"2,318.99",,"1,017.48",,"1,216.72",,,547.42
ก.ค.-17,"1,576.08","1,003.96",,"2,250.61",,"1,012.57",,"1,182.10",,,551.03
มิ.ย.-17,"1,574.74",994.35,,"2,241.46",,"1,022.22",,"1,202.26",,,565.71
พ.ค.-17,"1,561.66",986.08,,"2,225.59",,"1,015.42",,"1,206.18",,,568.88
เม.ย.-17,"1,566.32",993.98,,"2,237.96",,"1,020.31",,"1,236.29",,,577.47
มี.ค.-17,"1,575.11",996.44,,"2,244.58",,"1,047.83",,"1,249.29",,,597.45
ก.พ.-17,"1,559.56",978.46,,"2,207.93",,"1,055.22",,"1,209.97",,,612.82
ม.ค.-17,"1,577.31",984.21,,"2,223.16",,"1,076.59",,"1,185.03",,,646.02
ธ.ค.-16,"1,542.94",964.84,,"2,178.19",,,,"1,144.14",,,616.27
พ.ย.-16,"1,510.24",943.18,,"2,129.23",,,,"1,109.35",,,598.74
ต.ค.-16,"1,495.72",936.66,,"2,111.50",,,,"1,125.00",,,576.21
ก.ย.-16,"1,483.21",944.42,,"2,112.87",,,,"1,137.64",,,551.74
ส.ค.-16,"1,548.44",983.26,,"2,211.03",,,,"1,186.13",,,585.38
ก.ค.-16,"1,524.07",964.44,,"2,172.09",,,,"1,160.85",,,589.3
มิ.ย.-16,"1,444.99",910.56,,"2,050.79",,,,"1,093.04",,,527.35
พ.ค.-16,"1,424.28",911.11,,"2,033.74",,,,"1,066.84",,,524.17
เม.ย.-16,"1,404.61",891.83,,"1,987.58",,,,"1,059.76",,,524.89
มี.ค.-16,"1,407.70",905.93,,"2,010.71",,,,"1,054.82",,,518.4
ก.พ.-16,"1,332.37",851.02,,"1,894.89",,,,988.43,,,498.06
ม.ค.-16,"1,300.98",826.21,,"1,841.76",,,,938.96,,,508.77
ธ.ค.-15,"1,288.02",813.55,,"1,821.66",,,,933.71,,,522.62
พ.ย.-15,"1,359.70",869.38,,"1,939.44",,,,984.29,,,570.71
ต.ค.-15,"1,394.94",899.52,,"2,004.97",,,,"1,009.41",,,592.87
ก.ย.-15,"1,349.00",868.71,,"1,934.18",,,,973.48,,,573.69
ส.ค.-15,"1,382.41",905.68,,"2,005.52",,,,"1,021.53",,,560.4
ก.ค.-15,"1,440.12",950.42,,"2,102.63",,,,"1,096.72",,,595.18
มิ.ย.-15,"1,504.55",989.21,,"2,200.29",,,,"1,177.85",,,656.8
พ.ค.-15,"1,496.05",985.37,,"2,190.77",,,,"1,171.37",,,656.16
เม.ย.-15,"1,526.74","1,006.10",,"2,238.28",,,,"1,203.92",,,688.86
มี.ค.-15,"1,505.94",997.66,,"2,215.40",,,,"1,159.97",,,671.1
ก.พ.-15,"1,587.01","1,042.80",,"2,326.59",,,,"1,198.31",,,798
ม.ค.-15,"1,581.25","1,050.29",,"2,330.25",,,,"1,194.54",,,724.72
ธ.ค.-14,"1,497.67","1,001.01",,"2,212.63",,,,"1,147.66",,,700.05
พ.ย.-14,"1,593.91","1,069.36",,"2,365.39",,,,"1,273.23",,,726.72
ต.ค.-14,"1,584.16","1,053.22",,"2,333.46",,,,"1,241.59",,,723.78
ก.ย.-14,"1,585.67","1,057.22",,"2,344.78",,,,"1,253.50",,,698.26
ส.ค.-14,"1,561.63","1,044.25",,"2,313.24",,,,"1,226.73",,,637.93
ก.ค.-14,"1,502.39","1,006.97",,"2,225.06",,,,"1,188.84",,,549.11
มิ.ย.-14,"1,485.75",999.62,,"2,201.83",,,,"1,187.20",,,509.61
พ.ค.-14,"1,415.73",952.2,,"2,096.24",,,,"1,117.48",,,447.74
เม.ย.-14,"1,414.94",959.51,,"2,108.13",,,,"1,148.51",,,422.67
มี.ค.-14,"1,376.26",935.76,,"2,053.06",,,,"1,118.91",,,395.33
ก.พ.-14,"1,325.33",899.51,,"1,973.69",,,,"1,087.49",,,376.45
ม.ค.-14,"1,274.28",866.34,,"1,895.39",,,,"1,054.10",,,351.74
ธ.ค.-13,"1,298.71",883.4,,"1,933.11",,,,"1,091.62",,,356.8
พ.ย.-13,"1,371.13",935.22,,"2,055.41",,,,"1,113.11",,,371.48
ต.ค.-13,"1,442.88",987.06,,"2,172.84",,,,"1,162.02",,,385.13
ก.ย.-13,"1,383.16",940.88,,"2,072.72",,,,"1,121.77",,,354.15
ส.ค.-13,"1,294.30",882.98,,"1,936.33",,,,"1,083.87",,,329.95
ก.ค.-13,"1,423.14",966.03,,"2,122.90",,,,"1,146.72",,,389.35
มิ.ย.-13,"1,451.90",982.99,,"2,167.21",,,,"1,173.58",,,392.21
พ.ค.-13,"1,562.07","1,029.01",,"2,299.63",,,,"1,215.35",,,471.61
เม.ย.-13,"1,597.86","1,055.62",,"2,362.23",,,,"1,263.53",,,507.79
มี.ค.-13,"1,561.06","1,024.92",,"2,299.39",,,,"1,266.78",,,484.28
ก.พ.-13,"1,541.58","1,014.03",,"2,271.97",,,,"1,297.33",,,469.25
ม.ค.-13,"1,474.20",988.21,,"2,191.53",,,,"1,274.56",,,453.14
ธ.ค.-12,"1,391.93",945.39,,"2,078.67",,,,"1,231.91",,,415.68
พ.ย.-12,"1,324.04",898.81,,"1,975.67",,,,"1,156.40",,,393.46
ต.ค.-12,"1,298.87",879.06,,"1,929.20",,,,"1,140.01",,,385.17
ก.ย.-12,"1,298.79",886.58,,"1,937.22",,,,"1,136.65",,,347.86
ส.ค.-12,"1,227.48",840.32,,"1,832.60",,,,"1,102.54",,,323.17
ก.ค.-12,"1,199.30",828.67,,"1,804.23",,,,"1,088.54",,,305.82
มิ.ย.-12,"1,172.11",814.38,,"1,769.19",,,,"1,081.91",,,294.65
พ.ค.-12,"1,141.50",791.54,,"1,721.76",,,,"1,072.44",,,288.38
เม.ย.-12,"1,228.49",863.82,,"1,875.49",,,,"1,151.83",,,308.83
มี.ค.-12,"1,196.77",842.91,,"1,828.73",,,,"1,135.34",,,292.15
ก.พ.-12,"1,160.90",818.78,,"1,775.40",,,,"1,113.31",,,294.83
ม.ค.-12,"1,083.97",757.45,,"1,647.59",,,,"1,058.04",,,290.48
ธ.ค.-11,"1,025.32",718.4,,"1,559.38",,,,"1,008.71",,,264.23
พ.ย.-11,995.33,697.33,,"1,513.68",,,,"1,000.00",,,261.81
ต.ค.-11,974.75,691.97,,"1,493.52",,,,970.19,,,242.44
ก.ย.-11,916.21,636.3,,"1,381.58",,,,893.4,,,246.46
ส.ค.-11,"1,070.05",747.07,,"1,627.38",,,,"1,035.96",,,295.39
ก.ค.-11,"1,133.53",794.01,,"1,730.42",,,,"1,086.72",,,318.02
มิ.ย.-11,"1,041.48",729.78,,"1,587.31",,,,,,,304.27
พ.ค.-11,"1,073.83",754.08,,"1,642.80",,,,,,,295.93
เม.ย.-11,"1,093.56",770.69,,"1,682.40",,,,,,,293.83
มี.ค.-11,"1,047.48",735.98,,"1,605.25",,,,,,,279.53
ก.พ.-11,987.91,690.89,,"1,506.94",,,,,,,263.56
ม.ค.-11,964.1,668.58,,"1,461.67",,,,,,,265.12
ธ.ค.-10,"1,032.76",720.19,,"1,573.02",,,,,,,272.79
พ.ย.-10,"1,005.12",698.46,,"1,526.11",,,,,,,261.54
ต.ค.-10,984.46,677.52,,"1,489.59",,,,,,,261.1
ก.ย.-10,975.3,674.42,,"1,481.69",,,,,,,250.64
ส.ค.-10,913.19,622.67,,"1,371.79",,,,,,,253.45
ก.ค.-10,855.83,583.83,,"1,280.03",,,,,,,243.71
มิ.ย.-10,797.31,547.46,,"1,197.01",,,,,,,230.84
พ.ค.-10,750.43,524.14,,"1,131.97",,,,,,,207.63
เม.ย.-10,763.51,538.93,,"1,160.24",,,,,,,205.13
มี.ค.-10,787.98,558.28,,"1,201.57",,,,,,,212.43
ก.พ.-10,721.37,507.68,,"1,091.32",,,,,,,212.16
ม.ค.-10,696.55,490.77,,"1,053.87",,,,,,,210.06
ธ.ค.-09,734.54,520.69,,"1,120.26",,,,,,,215.3
พ.ย.-09,689.07,483.54,,"1,042.71",,,,,,,212.01
ต.ค.-09,685.24,483.67,,"1,045.48",,,,,,,209.93
ก.ย.-09,717.07,511.82,,"1,103.21",,,,,,,201.02
ส.ค.-09,653.25,467.27,,"1,002.72",,,,,,,183.75
ก.ค.-09,624,449.91,,959.43,,,,,,,187.31
มิ.ย.-09,597.48,430.35,,916.66,,,,,,,192.15
พ.ค.-09,560.41,398.36,,850.27,,,,,,,174.13
เม.ย.-09,491.69,346.81,,739.22,,,,,,,163.69
มี.ค.-09,431.5,300.2,,637.42,,,,,,,152.13
ก.พ.-09,431.52,299.58,,636.04,,,,,,,160.59
ม.ค.-09,437.69,303.59,,646.1,,,,,,,166.85
ธ.ค.-08,449.96,316.45,,671.35,,,,,,,162.93
พ.ย.-08,401.84,279.83,,592.63,,,,,,,156.79
ต.ค.-08,416.53,288.76,,615.21,,,,,,,162.5
ก.ย.-08,596.54,417.23,,897.54,,,,,,,216.93
ส.ค.-08,684.44,485.25,,"1,044.18",,,,,,,238.65
ก.ค.-08,676.32,473.85,,"1,024.76",,,,,,,240.59
มิ.ย.-08,768.59,548.95,,"1,182.89",,,,,,,256.44
พ.ค.-08,833.65,597.82,,"1,292.43",,,,,,,276.42
เม.ย.-08,832.45,599.3,,"1,292.49",,,,,,,283.23
มี.ค.-08,817.03,587.61,,"1,267.68",,,,,,,272.81
ก.พ.-08,845.76,614.37,,"1,321.40",,,,,,,269.36
ม.ค.-08,784.23,567.17,,"1,220.29",,,,,,,261.51
ธ.ค.-07,858.1,630.73,,"1,355.47",,,,,,,272.37
พ.ย.-07,846.44,622.63,,"1,338.28",,,,,,,274.21
ต.ค.-07,907.28,672.79,,"1,443.25",,,,,,,294.88
ก.ย.-07,845.5,616.03,,"1,328.47",,,,,,,263.94
ส.ค.-07,813.21,586.31,,"1,267.09",,,,,,,251.37
ก.ค.-07,859.76,617.33,,"1,337.36",,,,,,,261.39
มิ.ย.-07,776.79,550.01,,"1,195.47",,,,,,,229.29
พ.ค.-07,737.4,523.4,,"1,133.78",,,,,,,212.16
เม.ย.-07,699.16,491.97,,"1,066.45",,,,,,,208.42
มี.ค.-07,673.71,471.93,,"1,024.43",,,,,,,193.85
ก.พ.-07,677.13,475.66,,"1,032.63",,,,,,,194.25
ม.ค.-07,654.04,456.89,,993.62,,,,,,,185.54
ธ.ค.-06,679.84,473.27,,"1,033.38",,,,,,,193.43
พ.ย.-06,739.06,515.93,,"1,127.38",,,,,,,195.46
ต.ค.-06,722.46,504.55,,"1,099.96",,,,,,,176.51
ก.ย.-06,686.1,480.3,,"1,044.47",,,,,,,161.2
ส.ค.-06,690.9,482.43,,"1,049.15",,,,,,,158.72
ก.ค.-06,691.49,482.63,,"1,049.72",,,,,,,159.2
มิ.ย.-06,678.13,471.54,,"1,026.28",,,,,,,155.73
พ.ค.-06,709.43,492.52,,"1,074.53",,,,,,,162.64
เม.ย.-06,768.29,533.86,,"1,169.02",,,,,,,170.47
มี.ค.-06,733.25,509.12,,"1,113.58",,,,,,,165.43
ก.พ.-06,744.05,524.62,,"1,142.59",,,,,,,167.46
ม.ค.-06,762.63,540.02,,"1,174.61",,,,,,,161.97
ธ.ค.-05,713.73,502.85,,"1,092.64",,,,,,,158.23
พ.ย.-05,667.75,467.28,,"1,015.77",,,,,,,156.47
ต.ค.-05,682.62,477.4,,"1,040.17",,,,,,,167.03
ก.ย.-05,723.23,511.89,,"1,112.82",,,,,,,174.22
ส.ค.-05,697.85,495.78,,"1,076.28",,,,,,,172.72
ก.ค.-05,675.67,477.15,,"1,035.25",,,,,,,179.04
มิ.ย.-05,675.5,471.66,,"1,029.76",,,,,,,184.1
พ.ค.-05,667.55,461.84,,"1,016.30",,,,,,,182.01
เม.ย.-05,658.88,458.2,,,,,,,,,192.64
มี.ค.-05,681.49,472.86,,,,,,,,,197.9
ก.พ.-05,741.55,522.64,,,,,,,,,206.94
ม.ค.-05,701.91,491.42,,,,,,,,,203.09
ธ.ค.-04,668.1,468.68,,,,,,,,,188.07
พ.ย.-04,656.73,460.85,,,,,,,,,187.8
ต.ค.-04,628.16,439.24,,,,,,,,,180.99
ก.ย.-04,644.67,447.2,,,,,,,,,213.48
ส.ค.-04,624.59,429.55,,,,,,,,,214.49
ก.ค.-04,636.7,435.58,,,,,,,,,231.12
มิ.ย.-04,646.64,441.45,,,,,,,,,253.11
พ.ค.-04,641.05,435.71,,,,,,,,,245.03
เม.ย.-04,648.15,436.9,,,,,,,,,262.41
มี.ค.-04,647.3,433.53,,,,,,,,,293.73
ก.พ.-04,716.3,471.42,,,,,,,,,331.48
ม.ค.-04,698.9,462.73,,,,,,,,,326.85
ธ.ค.-03,772.15,509.06,,,,,,,,,343.7
พ.ย.-03,646.03,394.04,,,,,,,,,398.22
ต.ค.-03,639.45,381.6,,,,,,,,,366.47
ก.ย.-03,578.98,357.52,,,,,,,,,322.57
ส.ค.-03,537.71,339.24,,,,,,,,,231.23
ก.ค.-03,484.11,311.99,,,,,,,,,179.77
มิ.ย.-03,461.82,302.62,,,,,,,,,146.88
พ.ค.-03,403.82,263.6,,,,,,,,,139.83
เม.ย.-03,374.63,242.1,,,,,,,,,138.78
มี.ค.-03,364.55,236.32,,,,,,,,,132.14
ก.พ.-03,361.32,232.85,,,,,,,,,133.18
ม.ค.-03,370.01,239.61,,,,,,,,,123.1
ธ.ค.-02,356.48,228.4,,,,,,,,,127.49
พ.ย.-02,364.9,234,,,,,,,,,141.95
ต.ค.-02,357.22,229.1,,,,,,,,,109.6
ก.ย.-02,331.79,210.71,,,,,,,,,95.35
ส.ค.-02,361.16,230.51,,,,,,,,,
ก.ค.-02,376.02,239.65,,,,,,,,,
มิ.ย.-02,389.1,250.49,,,,,,,,,
พ.ค.-02,407.96,268.16,,,,,,,,,
เม.ย.-02,371.42,243.52,,,,,,,,,
มี.ค.-02,373.95,246.01,,,,,,,,,
ก.พ.-02,371.81,247.55,,,,,,,,,
ม.ค.-02,340.82,226.21,,,,,,,,,
ธ.ค.-01,303.85,197.26,,,,,,,,,
พ.ย.-01,302.62,199.12,,,,,,,,,
ต.ค.-01,275.09,177.85,,,,,,,,,
ก.ย.-01,277.04,181.65,,,,,,,,,
ส.ค.-01,335.57,221.52,,,,,,,,,
ก.ค.-01,297.69,194.47,,,,,,,,,
มิ.ย.-01,322.55,215.55,,,,,,,,,
พ.ค.-01,310.13,210.26,,,,,,,,,
เม.ย.-01,300.63,204.1,,,,,,,,,
มี.ค.-01,291.94,200.85,,,,,,,,,
ก.พ.-01,325.2,229.99,,,,,,,,,
ม.ค.-01,332.77,238.87,,,,,,,,,
ธ.ค.-00,269.19,186.35,,,,,,,,,
พ.ย.-00,277.92,192.94,,,,,,,,,
ต.ค.-00,271.84,187.64,,,,,,,,,
ก.ย.-00,277.29,190.63,,,,,,,,,
ส.ค.-00,307.83,216.12,,,,,,,,,
ก.ค.-00,284.67,198.2,,,,,,,,,
มิ.ย.-00,325.69,230.71,,,,,,,,,
พ.ค.-00,323.29,227.09,,,,,,,,,
เม.ย.-00,390.4,277.8,,,,,,,,,
มี.ค.-00,400.32,287.97,,,,,,,,,
ก.พ.-00,374.32,269.07,,,,,,,,,
ม.ค.-00,477.57,343.05,,,,,,,,,
ธ.ค.-99,481.92,347.43,,,,,,,,,
พ.ย.-99,422.12,297.64,,,,,,,,,
ต.ค.-99,395.55,275.16,,,,,,,,,
ก.ย.-99,389.49,270.32,,,,,,,,,
ส.ค.-99,440.27,307.97,,,,,,,,,
ก.ค.-99,456.81,316.68,,,,,,,,,
มิ.ย.-99,521.77,369.17,,,,,,,,,
พ.ค.-99,453.6,338.4,,,,,,,,,
เม.ย.-99,459.35,348.66,,,,,,,,,
มี.ค.-99,352.01,257.66,,,,,,,,,
ก.พ.-99,340.94,246.31,,,,,,,,,
ม.ค.-99,363,262.98,,,,,,,,,
ธ.ค.-98,355.81,256.85,,,,,,,,,
พ.ย.-98,362.82,262.92,,,,,,,,,
ต.ค.-98,331.29,237.97,,,,,,,,,
ก.ย.-98,253.82,177.9,,,,,,,,,
ส.ค.-98,214.53,142.39,,,,,,,,,
ก.ค.-98,266.72,180.95,,,,,,,,,
มิ.ย.-98,267.33,178.35,,,,,,,,,
พ.ค.-98,325.59,224.41,,,,,,,,,
