Month-Year,SET,log-SET,gmean-SET,scaled-SET,quarter
1999-06-01,1.8,0.5877866649021191,2.6256303891647113,0.6836208888453523,0.0
1999-07-01,1.59,0.4637340162321402,2.615964532958808,0.6055688594104919,0.0
1999-08-01,1.5,0.4054651081081644,2.605366241379329,0.5734022694502714,0.0
1999-09-01,1.34,0.29266961396282004,2.592843408599227,0.5143230839172075,0.0
1999-10-01,1.38,0.3220834991691132,2.5811057924001575,0.5322342241815287,0.0
1999-11-01,1.48,0.3920420877760237,2.5708722144380225,0.5733976516412972,0.0
1999-12-01,1.72,0.5423242908253617,2.5635543700097503,0.6690336417113527,0.0
2000-01-01,1.7,0.5306282510621704,2.5561494362255597,0.6631417768578609,0.0
2000-02-01,1.32,0.27763173659827955,2.544363522444235,0.5164017335188069,0.0
2000-03-01,1.47,0.3852624007906449,2.5346883260922564,0.57774763198454,0.0
2000-04-01,1.44,0.36464311358790924,2.524823554124642,0.5681171863130234,0.0
2000-05-01,1.24,0.2151113796169455,2.5125568704164936,0.4911234283973197,0.0
2000-06-01,1.25,0.22314355131420976,2.5006521012132055,0.4975011768759662,0.0
2000-07-01,1.08,0.0769610411361284,2.486506291869644,0.4318873462950052,0.0
2000-08-01,1.19,0.17395330712343798,2.474238871475992,0.47858314450723544,0.0
2000-09-01,1.08,0.0769610411361284,2.4606027580017575,0.43649787110317795,0.0
2000-10-01,1.06,0.058268908123975824,2.446918002256582,0.4307887555408661,0.0
2000-11-01,1.15,0.13976194237515863,2.434792959848548,0.4699789690293887,0.0
2000-12-01,1.11,0.10436001532424286,2.422324770610591,0.4558909189835368,0.0
2001-01-01,1.38,0.3220834991691132,2.4134908721145667,0.5697006515159179,0.0
2001-02-01,1.36,0.3074846997479607,2.404576067514968,0.5634991272241455,0.0
2001-03-01,1.25,0.22314355131420976,2.3945129146401003,0.5198421530044689,0.0
2001-04-01,1.29,0.25464221837358075,2.3850977389886143,0.5387316944974128,0.0
2001-05-01,1.29,0.25464221837358075,2.3758380637056526,0.5408583383870115,0.0
2001-06-01,1.34,0.29266961396282004,2.3672962454388364,0.5640115041805371,0.0
2001-07-01,1.24,0.2151113796169455,2.3577481677638854,0.5238043199659346,0.0
2001-08-01,1.41,0.34358970439007686,2.3502312374215606,0.5980282454581481,0.0
2001-09-01,1.11,0.10436001532424286,2.3393734656134066,0.472293952325211,0.0
2001-10-01,1.11,0.10436001532424286,2.328698161024159,0.4744860178658764,0.0
2001-11-01,1.24,0.2151113796169455,2.3197669116357074,0.5324863568641499,0.0
2001-12-01,1.24,0.2151113796169455,2.3109775540489546,0.5345364630300958,0.0
2002-01-01,1.41,0.34358970439007686,2.3041094073572794,0.6101314127995772,0.0
2002-02-01,1.52,0.41871033485818504,2.2983771938768824,0.6596908962510503,0.0
2002-03-01,1.52,0.41871033485818504,2.2927272282515836,0.6613361827855929,0.0
2002-04-01,1.51,0.412109650826833,2.2870684411912565,0.6586042950916209,0.0
2002-05-01,1.63,0.4885800148186709,2.2825164530435957,0.7127027642211652,1.0
2002-06-01,1.57,0.45107561936021673,2.27752703515236,0.6878373200361826,1.0
2002-07-01,1.52,0.41871033485818504,2.2721787541643175,0.6673905409418406,0.0
2002-08-01,1.42,0.35065687161316933,2.2660130826087794,0.6249508307379014,0.0
2002-09-01,1.28,0.2468600779315258,2.2585870002238138,0.564868759948368,0.0
2002-10-01,1.38,0.3220834991691132,2.2522376205550008,0.6110014800684009,0.0
2002-11-01,1.39,0.3293037471426003,2.246070080697877,0.6171640093896813,0.0
2002-12-01,1.36,0.3074846997479607,2.2397127251106452,0.6055020329452206,0.0
2003-01-01,1.55,0.4382549309311553,2.2350859272541217,0.6920530399377124,1.0
2003-02-01,1.48,0.3920420877760237,2.2299444397534214,0.6621669359344183,0.0
2003-03-01,1.47,0.3852624007906449,2.224787912784446,0.6592092492504193,0.0
2003-04-01,1.52,0.41871033485818504,2.2201103190284788,0.6832111911726613,0.0
2003-05-01,1.57,0.45107561936021673,2.215887819583068,0.7071720655246685,1.0
2003-06-01,1.79,0.5822156198526637,2.2133048801851976,0.807802626189262,1.0
2003-07-01,1.9,0.6418538861723947,2.211469645739454,0.8584447705374498,2.0
2003-08-01,2.08,0.7323678937132266,2.2107371203558936,0.9405510059824972,2.0
2003-09-01,2.21,0.7929925155296614,2.210733156685945,0.9996665725883432,3.0
2003-10-01,2.47,0.9042181506398859,2.2120445450627213,1.1172764078423267,3.0
2003-11-01,2.41,0.8796267475025636,2.2130532499258324,1.0894898140180382,3.0
2003-12-01,2.88,1.0577902941478545,2.2161398248488373,1.3013694993993115,3.0
2004-01-01,2.63,0.9669838461896731,2.2181377816258543,1.1867482234246622,3.0
2004-02-01,2.59,0.9516578757114463,2.219938453920116,1.1676461315678854,3.0
2004-03-01,2.16,0.7701082216960737,2.2196220051687123,0.9729999478975317,3.0
2004-04-01,2.16,0.7701082216960737,2.2193088800895184,0.9731386672911542,3.0
2004-05-01,2.05,0.7178397931503168,2.218401253559924,0.9237109887639032,2.0
2004-06-01,2.06,0.7227059828014898,2.2175586396034674,0.9285966624361877,2.0
2004-07-01,2.04,0.712949807856125,2.2166146010692063,0.9199305775132884,2.0
2004-08-01,1.99,0.688134638736401,2.2154014611279775,0.8977654478320695,2.0
2004-09-01,2.05,0.7178397931503168,2.214533441790084,0.9253401859526792,2.0
2004-10-01,2.05,0.7178397931503168,2.213674481254905,0.9257028868089316,2.0
2004-11-01,2.05,0.7178397931503168,2.2128244385133176,0.9260620824602359,2.0
2004-12-01,2.1,0.7419373447293773,2.2122483823023367,0.9490133801174402,2.0
2005-01-01,2.22,0.7975071958841882,2.212286689904699,1.0035039545105673,3.0
2005-02-01,2.25,0.8109302162163288,2.2124709116827144,1.0170472074290362,3.0
2005-03-01,1.98,0.6830968447064438,2.2112672526117723,0.8949270200773367,2.0
2005-04-01,1.93,0.6575200029167941,2.2098002587266308,0.8728026871109488,2.0
2005-05-01,1.86,0.62057648772511,2.2079524625272486,0.8417050331380636,1.0
2005-06-01,1.88,0.6312717768418578,2.2062380313111207,0.8514676071640281,1.0
2005-07-01,1.89,0.636576829071551,2.2045976247717927,0.8566618711022821,2.0
2005-08-01,1.91,0.6471032420585384,2.2030850750817734,0.8663712500360297,2.0
2005-09-01,1.99,0.688134638736401,2.202018158615196,0.9032787805192388,2.0
2005-10-01,1.88,0.6312717768418578,2.2003688022492094,0.8537622601542457,1.0
2005-11-01,1.79,0.5822156198526637,2.198227501793501,0.8134999906244209,1.0
2005-12-01,1.95,0.6678293725756554,2.1969912487222736,0.8870783385291213,2.0
2006-01-01,2.09,0.7371640659767196,2.1964787653921007,0.951301012789879,2.0
2006-02-01,2.07,0.7275486072772777,2.1958729588685086,0.9424174877604506,2.0
2006-03-01,1.92,0.6523251860396901,2.194508541305259,0.8743675230598674,2.0
2006-04-01,2.01,0.6981347220709843,2.193620568001856,0.9159226141833485,2.0
2006-05-01,1.76,0.5653138090500605,2.1914055306186153,0.8023265398186725,1.0
2006-06-01,1.7,0.5306282510621704,2.188866224545639,0.7757578304185918,1.0
2006-07-01,1.74,0.5538851132264376,2.186584043682296,0.794932088808299,1.0
2006-08-01,1.72,0.5423242908253617,2.1842106011846707,0.7866150880271908,1.0
2006-09-01,1.72,0.5423242908253617,2.1818610826195495,0.7874698525257169,1.0
